band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.151465,0.841017,0.689552,0.653052,0.725334,True,392,448,2000
2,0.236541,0.834715,0.598173,0.520939,0.670204,True,448,512,1999
4,0.293393,0.833278,0.539885,0.451627,0.63221,True,448,512,2000
6,0.310801,0.825907,0.515106,0.423133,0.605899,True,448,512,2000
8,0.323737,0.82467,0.500933,0.406686,0.594448,True,448,512,2000
10,0.345879,0.820654,0.474775,0.358182,0.589391,True,448,512,2000
12,0.359173,0.814212,0.45504,0.330123,0.579702,True,43,48,2000
