band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.292714,0.61517,0.322456,0.0930627,0.519698,True,12,16,1991
2,0.363758,0.577368,0.21361,0.0166537,0.417406,True,24,32,1987
4,0.357414,0.584993,0.227579,0.0401482,0.500146,True,24,32,1981
6,0.352228,0.583921,0.231693,0.0451426,0.47978,True,24,32,1982
8,0.388224,0.582541,0.194317,0.03231,0.418616,True,24,32,1983
10,0.425724,0.575774,0.15005,0.0285507,0.365911,True,24,32,1988
12,0.443191,0.546098,0.102907,-0.0659591,0.333461,False,12,16,1988
