band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.18674,0.829505,0.642765,0.582179,0.678969,True,120,240,1993
2,0.251995,0.826391,0.574396,0.46005,0.666699,True,128,256,1997
4,0.271867,0.828526,0.556659,0.427634,0.661662,True,128,256,1993
6,0.291316,0.827016,0.5357,0.375904,0.655907,True,128,256,1994
8,0.307511,0.830159,0.522648,0.334951,0.654066,True,128,256,1998
10,0.320847,0.829697,0.50885,0.315476,0.663194,True,128,256,1993
12,0.259251,0.842721,0.58347,0.42574,0.722478,True,4,9,1803
