band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.174828,0.849635,0.674807,0.642673,0.706188,True,28,56,1883
2,0.258244,0.840739,0.582495,0.513146,0.643499,True,32,64,1874
4,0.280284,0.80468,0.524396,0.395765,0.626071,True,32,64,1869
6,0.279735,0.798611,0.518876,0.389816,0.65268,True,32,64,1875
8,0.306645,0.799116,0.492471,0.355042,0.66817,True,32,64,1872
10,0.298264,0.799411,0.501146,0.371417,0.697754,True,32,64,1868
