generator,quarter,block_fill,block_fill_ci_low,block_fill_ci_high,stop_rate,stop_rate_ci_low,stop_rate_ci_high,n_trajectories
or-qwen3-8b,1,0.704088,0.504548,0.850274,0.597155,0.396265,0.775269,8
or-qwen3-8b,2,0.617572,0.420438,0.819274,0.673672,0.364591,0.975,8
or-qwen3-8b,3,0.627849,0.434808,0.812958,0.62148,0.339114,0.875,8
or-qwen3-8b,4,0.668807,0.459474,0.859761,0.614672,0.277054,0.854551,8
or-qwen3-8b-prefill,1,0.869403,0.758028,0.956817,0.479327,0.201923,0.758137,8
or-qwen3-8b-prefill,2,0.922035,0.859312,0.979635,0.486905,0.166667,0.798437,8
or-qwen3-8b-prefill,3,0.915084,0.804422,0.986902,0.490385,0.125,0.846154,8
or-qwen3-8b-prefill,4,0.91015,0.81899,0.971279,0.495825,0.188301,0.813765,8
