trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
local-gemma-3-1b-pt__W256__T0p3__physics__s1,physics,local-gemma-3-1b-pt,0.3,1,256,12,11,0.0206872,0.00471962,0.0187498,0.0213876,-0.0914663,0.32137,0.0749347,0.0346631,1,0,0.0924159,0.0545455,0,0,0,0,0,True,1,1,0.00649351,0,0.964286,1,0.877004,0.878378,0.103955,4.38636,0.102229,0.00143061,1,3
local-gemma-3-1b-pt__W256__T0p3__physics__s2,physics,local-gemma-3-1b-pt,0.3,2,256,12,11,0.0206831,0.00472892,0.0187557,0.0214364,-0.0911859,0.321615,0.0744053,0.0346648,1,0,0.0924611,0.0545455,0,0,0,0,0,True,1,1,0.00649351,0,0.964286,1,0.877004,0.878378,0.103955,4.38636,0.102229,0.00143061,1,3
local-gemma-3-1b-pt__W256__T0p3__surreal__s1,surreal,local-gemma-3-1b-pt,0.3,1,256,12,11,2.27688e-07,6.83065e-07,8.27958e-07,2.27688e-06,1.19536,0.0357879,0.999104,1.70766e-06,1,0,0,0,0,0,0,0,0,True,1,1,0,0,1,1,0.936975,0.936975,0.05,3.45656,0.0625,0,1,3
local-gemma-3-1b-pt__W256__T0p3__surreal__s2,surreal,local-gemma-3-1b-pt,0.3,2,256,12,11,0.0162484,0.00314537,0.0794739,0.0827655,-0.10182,0.323936,0.0899152,0.031387,1.28079,0,0.105832,0.0545455,0.666667,2,2,0,1,True,1,1,0,0,1,1,0.846307,0.846491,0.126237,4.68091,0.115395,-0.000293205,1,3
local-gemma-3-1b-pt__W256__T1__physics__s1,physics,local-gemma-3-1b-pt,1,1,256,12,11,0.0181971,0.00950623,0.284003,0.288355,0.0608481,0.0278717,0.826574,0.0391692,1.96708,0,0,0,0,0,0,0,0,True,1,0.909091,0.0909091,0,1,1,0.98204,0.988166,0.0136906,1.0614,0.030142,-0.0275488,1,3
local-gemma-3-1b-pt__W256__T1__physics__s2,physics,local-gemma-3-1b-pt,1,2,256,12,11,0.102397,0.137422,0.294778,0.594587,0.375651,0.00290258,0.99994,0.309635,1.80045,0,0.177897,0.0545455,0,0,0,2.5,0,True,1,1,0.202256,0,0.244898,1,0.839672,0.984252,0.124337,3.99239,0.113713,-0.339549,1,3
local-gemma-3-1b-pt__W256__T1__surreal__s1,surreal,local-gemma-3-1b-pt,1,1,256,12,11,0.106573,0.144492,0.304894,0.593383,0.999417,0.0371513,0.99862,0.633403,1,0,0.04434,0.0545455,0.666667,2,2,3,1,True,1,1,0.19967,0,0.0285714,1,0.837466,0.996063,0.107343,3.303,0.113251,-0.58802,1,3
local-gemma-3-1b-pt__W256__T1__surreal__s2,surreal,local-gemma-3-1b-pt,1,2,256,12,11,0.0679117,0.136359,0.500916,0.562241,0.515331,0.0845866,0.973765,0.23448,1.91498,0,0,0,0,0,0,0,0,True,1,0.818182,0.235931,0,1,1,0.978075,0.992063,0.0117046,0.292025,0.0515838,-0.13292,1,3
