trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p7__physics__s1,physics,or-qwen3-8b,0.7,1,4096,47,43,0.0293685,0.0363178,0.29889,0.397824,0.499023,0.0331684,0.966104,0.176533,4.54594,0,0.179747,0.0498339,0.666667,2.5,3,3.33333,12,True,0.0465116,0.976744,0.149304,0,0.750566,0.979695,0.0464721,0.212428,0.518256,7.57633,0.451168,0.0169499,1,2
or-qwen3-8b__W4096__T0p7__physics__s2,physics,or-qwen3-8b,0.7,2,4096,47,43,0.0519622,0.0416956,0.291939,0.278795,0.0497432,0.040451,0.159956,0.132248,7.07969,0,0.20168,0.0498339,0.644444,3.22222,7,2.29032,9,True,0.674419,0.906977,0.212793,0,1,1,0.100933,0.178723,0.482598,7.51721,0.434907,-0.041485,1,3
or-qwen3-8b__W4096__T0p7__surreal__s1,surreal,or-qwen3-8b,0.7,1,4096,48,44,0.0461853,0.0212569,0.246151,0.313044,0.258536,0.019251,0.952852,0.170302,1.56647,0,0.25176,0.0496829,0.212766,2,2,2.3913,5,True,0.704545,0.954545,0.254384,0,0.106603,1,0.200195,0.511848,0.325669,7.02712,0.366588,-0.00278837,1,3
or-qwen3-8b__W4096__T0p7__surreal__s2,surreal,or-qwen3-8b,0.7,2,4096,48,44,0.0356663,0.0260723,0.289746,0.346955,0.37293,0.0379727,0.91531,0.160195,2.67984,0,0.175046,0.0496829,0.659574,3.1,7,2.41667,10,True,0.863636,0.931818,0.151098,0,0.280164,1,0.447199,0.663539,0.288502,7.03861,0.29113,-0.0593361,1,3
or-qwen3-8b__W4096__T1p5__physics__s1,physics,or-qwen3-8b,1.5,1,4096,47,43,0.0830317,0.0319236,0.365743,0.463984,0.238828,0.0221494,0.936061,0.290122,5.08002,0,0.361396,0.0498339,0.488889,2.2,3,2.82353,10,False,0.0930233,0.0465116,0.937626,0.0125,0.00948213,0.0495935,0.0307188,0.138047,0.499198,7.70002,0.467994,-0.0746822,0,0
or-qwen3-8b__W4096__T1p5__physics__s2,physics,or-qwen3-8b,1.5,2,4096,48,44,0.107815,0.0431865,0.359104,0.479294,0.242425,0.0160046,0.96256,0.386606,1.82489,0,0.424735,0.0496829,0.510638,3,5,3.13793,8,False,0,0.0681818,0.952438,0.558984,0.000419111,0.270391,0.013791,0.0445633,0.610891,8.08421,0.479264,0.0270299,0,0
or-qwen3-8b__W4096__T1p5__surreal__s1,surreal,or-qwen3-8b,1.5,1,4096,48,44,0.102688,0.0338633,0.506397,0.634289,0.343407,0.0528308,0.825614,0.458567,8.56448,0,0.399356,0.0496829,0.595745,2.8,4,3.47826,10,False,0,0,0.974664,0.944075,0.000655093,0.0129702,0.022955,0.0625,0.401576,7.42998,0.464016,-0.0519581,0,0
or-qwen3-8b__W4096__T1p5__surreal__s2,surreal,or-qwen3-8b,1.5,2,4096,48,44,0.0861656,0.0240235,0.492737,0.607808,0.284125,0.0303095,0.907805,0.348456,1.25973,0,0.380308,0.0496829,0.319149,2.5,5,2.66667,6,False,0.0227273,0.0454545,0.933162,0.547445,0.00338989,0.0215779,0.0423645,0.107374,0.357744,7.23298,0.440873,-0.0406657,0,0
