trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__biology__s1,True,48,44,0.113636,0.977273,0.135251,0,0.232723,1,0.0644315,0.327172,0.459994,7.36595,0.44889,0.0121042,1,2
or-qwen3-8b__W4096__T0p3__biology__s2,True,48,44,0.477273,0.977273,0.148772,0,0.752877,1,0.178891,0.677258,0.437834,7.40647,0.380557,0.0239873,1,2
or-qwen3-8b__W4096__T0p3__finance__s1,True,48,44,1,1,0.00854759,0,1,1,0.188788,0.235202,0.459337,7.63429,0.389843,0.0026826,1,3
or-qwen3-8b__W4096__T0p3__finance__s2,True,48,44,0.0681818,1,0.020174,0,1,1,0.0558745,0.157143,0.474176,7.40244,0.427833,0.00345798,1,2
or-qwen3-8b__W4096__T0p3__love__s1,False,48,44,0.477273,1,0.114604,0,0.0104395,1,0.197576,0.713464,0.400477,7.35194,0.395547,-0.0302121,0,0
or-qwen3-8b__W4096__T0p3__love__s2,True,48,44,0.545455,1,0.107249,0,0.584088,1,0.161887,0.511269,0.399982,7.3793,0.402844,-0.0292006,1,3
or-qwen3-8b__W4096__T0p3__noise__s1,True,48,44,0.0454545,1,0.0140752,0,1,1,0.0295716,0.0931099,0.497176,7.46728,0.466668,0.00172334,1,2
or-qwen3-8b__W4096__T0p3__noise__s2,True,48,44,0.0681818,0.954545,0.144353,0,0.395317,1,0.0337235,0.0992248,0.505825,7.50463,0.491267,-0.00561514,1,2
or-qwen3-8b__W4096__T0p3__philosophy__s1,True,48,44,0,1,0.0213147,0,0.953795,1,0.0615834,0.0648734,0.421137,7.23828,0.428276,0.000168353,1,2
or-qwen3-8b__W4096__T0p3__philosophy__s2,True,48,44,0.909091,1,0.0544459,0,1,1,0.0988681,0.173653,0.387551,7.20189,0.420501,0.00277921,1,3
or-qwen3-8b__W4096__T0p3__programming__s1,True,48,44,0.227273,0.954545,0.0875401,0,0.369705,1,0.105615,0.317604,0.453808,7.38915,0.42368,0.0740688,1,2
or-qwen3-8b__W4096__T0p3__programming__s2,True,48,44,0,1,0.0157676,0,0.426696,1,0.0176631,0.0593607,0.504419,7.79715,0.464885,-0.000697741,1,2
or-qwen3-8b__W4096__T0p3__reactor-stable__s1,True,48,44,0,0.977273,0.0961465,0,0.98939,1,0.0427048,0.0614973,0.480564,7.64914,0.441148,-0.0130728,1,2
or-qwen3-8b__W4096__T0p3__reactor-stable__s2,True,48,44,0.0909091,1,0.0509942,0,0.983607,1,0.0861352,0.708723,0.463803,7.51287,0.440452,0.0108989,1,2
or-qwen3-8b__W4096__T0p3__reactor-unstable__s1,True,48,44,0.0227273,1,0.0273408,0,1,1,0.0286442,0.113855,0.485224,7.75388,0.444324,0.00173289,1,2
or-qwen3-8b__W4096__T0p3__reactor-unstable__s2,True,48,44,0,1,0.00708615,0,1,1,0.0344814,0.0750988,0.475039,7.70588,0.437776,0.00488125,1,2
or-qwen3-8b__W4096__T0p3__recipe__s1,True,48,44,0.954545,1,0.0628671,0,1,1,0.238795,0.477922,0.438452,7.44112,0.405003,0.034619,1,3
or-qwen3-8b__W4096__T0p3__recipe__s2,True,48,44,0.113636,0.954545,0.114886,0,0.918605,1,0.0689176,0.830645,0.493454,7.49973,0.468711,0.0290702,1,2
or-qwen3-8b__W4096__T0p3__war__s1,True,48,44,0.909091,1,0.177867,0,0.0680161,1,0.306325,0.789817,0.32488,7.16884,0.342353,0.022528,1,3
or-qwen3-8b__W4096__T0p3__war__s2,True,48,44,0.5,0.977273,0.150589,0,0.0143027,1,0.251217,0.727666,0.38306,7.15238,0.362641,-0.0627977,1,3
or-qwen3-8b__W4096__T0p3__waterloo-lost__s1,True,48,44,1,1,0.00227273,0,1,1,0.851828,0.853333,0.116466,6.02223,0.0966677,-4.95025e-05,1,3
or-qwen3-8b__W4096__T0p3__waterloo-lost__s2,True,48,44,1,1,0.0158044,0,1,1,0.244586,0.357333,0.36414,7.29022,0.356773,-0.00177812,1,3
or-qwen3-8b__W4096__T0p3__waterloo-won__s1,True,48,44,0.0227273,1,0.0081099,0,1,1,0.0582076,0.107438,0.425321,7.2915,0.421482,-0.00617908,1,2
or-qwen3-8b__W4096__T0p3__waterloo-won__s2,True,48,44,0.568182,0.977273,0.127753,0,0.0206186,1,0.359517,0.865915,0.330724,7.10026,0.312544,-0.11658,1,3
