trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode,source,embedding,n_chunks_x,n_chunks_post_horizon_x,n_chunks_y,n_chunks_post_horizon_y
or-qwen3-8b__W4096__T0p3__programming__s1,programming,or-qwen3-8b,0.3,1,4096,48,44,0.0234922,0.0493898,0.29815,0.379913,0.67915,0.0455202,0.961454,0.231389,1.45289,0,2.98023e-08,0.0422833,0.8,2.90909,6,3.88462,11,True,0.227273,0.954545,0.0875401,0,0.369705,1,0.105615,0.317604,0.453808,7.38915,0.42368,0.0740688,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__programming__s2,programming,or-qwen3-8b,0.3,2,4096,48,44,0.00846364,0.0160178,0.154539,0.199638,0.508911,0.0220933,0.983459,0.0513941,2.14443,0,0,0,0,0,0,0,0,True,0,1,0.0157676,0,0.426696,1,0.0176631,0.0593607,0.504419,7.79715,0.464885,-0.000697741,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__reactor-stable__s1,reactor-stable,or-qwen3-8b,0.3,1,4096,48,44,0.023348,0.0563267,0.211621,0.215454,0.738839,0.0123188,0.997525,0.275938,1.50045,0,0,0,0,0,0,0,0,True,0,0.977273,0.0961465,0,0.98939,1,0.0427048,0.0614973,0.480564,7.64914,0.441148,-0.0130728,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__reactor-stable__s2,reactor-stable,or-qwen3-8b,0.3,2,4096,48,44,0.022082,0.0467706,0.212919,0.211314,0.108447,0.0439411,0.405654,0.0613687,7.00448,0,2.98023e-08,0.0295983,0.964286,4.5,7,8,6,True,0.0909091,1,0.0509942,0,0.983607,1,0.0861352,0.708723,0.463803,7.51287,0.440452,0.0108989,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__reactor-unstable__s1,reactor-unstable,or-qwen3-8b,0.3,1,4096,48,44,0.0189883,0.0259807,0.127468,0.130077,0.216016,0.0677632,0.532425,0.0669774,5.98396,0,1.49012e-08,0.00211416,0,0,0,2,0,True,0.0227273,1,0.0273408,0,1,1,0.0286442,0.113855,0.485224,7.75388,0.444324,0.00173289,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__reactor-unstable__s2,reactor-unstable,or-qwen3-8b,0.3,2,4096,48,44,0.00351472,0.00993664,0.135483,0.132258,0.619808,0.0189295,0.991745,0.0311734,1.67016,0,0,0,0,0,0,0,0,True,0,1,0.00708615,0,1,1,0.0344814,0.0750988,0.475039,7.70588,0.437776,0.00488125,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__recipe__s1,recipe,or-qwen3-8b,0.3,1,4096,48,44,0.0908555,0.0221937,0.231784,0.176728,0.0625107,0.0658947,0.0916026,0.217667,1.68806,0,0.294269,0.0496829,0.468085,2.44444,4,3.5,9,True,0.954545,1,0.0628671,0,1,1,0.238795,0.477922,0.438452,7.44112,0.405003,0.034619,1,3,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__recipe__s2,recipe,or-qwen3-8b,0.3,2,4096,48,44,0.0265111,0.0475734,0.25268,0.259757,0.384119,0.012635,0.990436,0.139853,4.26033,0,0,0,0,0,0,0,0,True,0.113636,0.954545,0.114886,0,0.918605,1,0.0689176,0.830645,0.493454,7.49973,0.468711,0.0290702,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__war__s1,war,or-qwen3-8b,0.3,1,4096,48,44,0.0872537,0.0419509,0.362187,0.480691,0.265523,0.0269928,0.915559,0.341626,1.70482,0,0.357005,0.0496829,0.425532,2.5,4,3.11111,8,True,0.909091,1,0.177867,0,0.0680161,1,0.306325,0.789817,0.32488,7.16884,0.342353,0.022528,1,3,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__war__s2,war,or-qwen3-8b,0.3,2,4096,48,44,0.0664639,0.0700642,0.244851,0.44368,0.430552,0.0186642,0.983506,0.370259,1.79691,0,0.221476,0.0496829,0.574468,2.25,4,3,12,True,0.5,0.977273,0.150589,0,0.0143027,1,0.251217,0.727666,0.38306,7.15238,0.362641,-0.0627977,1,3,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__waterloo-lost__s1,waterloo-lost,or-qwen3-8b,0.3,1,4096,48,44,0.0242361,0.00535692,0.0978119,0.105338,-0.0752792,0.116188,0.044925,0.0575734,2.39958,0,0.145436,0.0496829,0.723404,3.4,10,0,10,True,1,1,0.00227273,0,1,1,0.851828,0.853333,0.116466,6.02223,0.0966677,-4.95025e-05,1,3,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__waterloo-lost__s2,waterloo-lost,or-qwen3-8b,0.3,2,4096,48,44,0.032961,0.0274744,0.0762865,0.0768364,0.115896,0.0653532,0.260571,0.0660209,13.1207,0,2.10734e-08,0.0285412,0.962963,2.88889,3,5.18182,9,True,1,1,0.0158044,0,1,1,0.244586,0.357333,0.36414,7.29022,0.356773,-0.00177812,1,3,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__waterloo-won__s1,waterloo-won,or-qwen3-8b,0.3,1,4096,48,44,0.00205589,0.0050368,0.203669,0.206525,0.599532,0.0117671,0.996574,0.0173969,5.1313,0,0,0,0,0,0,0,0,True,0.0227273,1,0.0081099,0,1,1,0.0582076,0.107438,0.425321,7.2915,0.421482,-0.00617908,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__waterloo-won__s2,waterloo-won,or-qwen3-8b,0.3,2,4096,48,44,0.0482135,0.0394403,0.294709,0.545915,0.668164,0.0161738,0.994798,0.464457,1.48572,0,0.262736,0.0496829,0.680851,2.66667,5,3.40625,12,True,0.568182,0.977273,0.127753,0,0.0206186,1,0.359517,0.865915,0.330724,7.10026,0.312544,-0.11658,1,3,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,,,0.0725319,0.0624504,0.134275,0.105119,0.189565,0.0328707,0.80724,0.215549,3.23722,0,0.173277,0.0442968,0.6,3,7,2.75,8,True,0.418605,0.930233,0.119517,0,0.626105,1,0.0872532,0.200622,0.45658,7.43426,0.429889,-0.0158497,1,2,s2.2,qwen3-embed-8b,47,43,47,43
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,,,0.022592,0.0239876,0.331435,0.338124,0.401997,0.0201461,0.978078,0.115313,6.47771,0,0.0823632,0.0496829,0.787234,4.625,7,3.84615,8,True,1,1,0.116997,0,0.909732,1,0.248789,0.653789,0.341059,7.02705,0.344209,0.0144321,1,3,s2.2,qwen3-embed-8b,48,44,48,44
or-qwen3-8b__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,4096,,,0.00836322,0.0188281,0.217508,0.233933,0.424061,0.0138841,0.990524,0.0451973,6.45201,0,0,0,0,0,0,0,0,True,0.931818,0.977273,0.05808,0,1,1,0.16885,0.405694,0.328547,7.00886,0.38033,-0.00183561,1,3,s2.2,qwen3-embed-8b,48,44,48,44
or-qwen3-8b__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,4096,,,0.0417147,0.0227767,0.241604,0.27069,0.435396,0.0268513,0.967172,0.214458,2.42511,0,0.175128,0.0496829,0.617021,3.625,7,4,8,True,0.818182,0.977273,0.155325,0,1,1,0.318832,0.669022,0.338301,7.19633,0.329723,0.012505,1,3,s2.2,qwen3-embed-8b,48,44,48,44
or-qwen3-8b__W4096__T0p3__biology__s1,biology,or-qwen3-8b,0.3,1,4096,48,44,0.0193594,0.0389985,0.335719,0.477297,0.820885,0.0248374,0.991896,0.27612,2.9718,0,0.125602,0.0496829,0.744681,2.69231,7,3.37838,13,True,0.113636,0.977273,0.135251,0,0.232723,1,0.0644315,0.327172,0.459994,7.36595,0.44889,0.0121042,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__biology__s2,biology,or-qwen3-8b,0.3,2,4096,48,44,0.0410209,0.076609,0.191805,0.824634,0.498509,0.0420613,0.940263,0.299315,1.51964,0,0.139654,0.0486258,0.76087,2.91667,6,3.88889,12,True,0.477273,0.977273,0.148772,0,0.752877,1,0.178891,0.677258,0.437834,7.40647,0.380557,0.0239873,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__finance__s1,finance,or-qwen3-8b,0.3,1,4096,48,44,0.0267901,0.0109261,0.0947548,0.10836,0.0289818,0.123777,0.00610573,0.0719856,1,0,0.138916,0.0496829,0.680851,2.46154,4,0,13,True,1,1,0.00854759,0,1,1,0.188788,0.235202,0.459337,7.63429,0.389843,0.0026826,1,3,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__finance__s2,finance,or-qwen3-8b,0.3,2,4096,48,44,0.00429922,0.00937096,0.0907024,0.0929572,0.203673,0.0108651,0.975233,0.0143648,5.10376,0,1.49012e-08,0.0137421,0.846154,2.75,4,4.25,4,True,0.0681818,1,0.020174,0,1,1,0.0558745,0.157143,0.474176,7.40244,0.427833,0.00345798,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__love__s1,love,or-qwen3-8b,0.3,1,4096,48,44,0.0464226,0.0528313,0.305016,0.569686,0.561889,0.0152436,0.993475,0.356837,1.75341,0,0.201293,0.0486258,0.826087,3.16667,5,4.34615,12,False,0.477273,1,0.114604,0,0.0104395,1,0.197576,0.713464,0.400477,7.35194,0.395547,-0.0302121,0,0,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__love__s2,love,or-qwen3-8b,0.3,2,4096,48,44,0.0378328,0.0356939,0.258089,0.320318,0.48666,0.021708,0.982553,0.24671,1.84745,0,0.197873,0.0496829,0.595745,2.8,4,3.64,10,True,0.545455,1,0.107249,0,0.584088,1,0.161887,0.511269,0.399982,7.3793,0.402844,-0.0292006,1,3,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__noise__s1,noise,or-qwen3-8b,0.3,1,4096,48,44,0.00412136,0.0135413,0.134492,0.13586,-0.0810737,0.0877511,0.0872987,0.00735372,3.34528,0,0,0,0,0,0,0,0,True,0.0454545,1,0.0140752,0,1,1,0.0295716,0.0931099,0.497176,7.46728,0.466668,0.00172334,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__noise__s2,noise,or-qwen3-8b,0.3,2,4096,48,44,0.0526172,0.069775,0.263763,0.422772,0.331818,0.0418482,0.875697,0.205362,7.65077,0,0.0154009,0.0475687,0.777778,3.5,7,3.96154,10,True,0.0681818,0.954545,0.144353,0,0.395317,1,0.0337235,0.0992248,0.505825,7.50463,0.491267,-0.00561514,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__philosophy__s1,philosophy,or-qwen3-8b,0.3,1,4096,48,44,0.00338321,0.0072206,0.0981063,0.115639,0.759664,0.0188166,0.994554,0.0408531,1.4831,0,0,0,0,0,0,0,0,True,0,1,0.0213147,0,0.953795,1,0.0615834,0.0648734,0.421137,7.23828,0.428276,0.000168353,1,2,s5.1,qwen3-embed-8b,,,,
or-qwen3-8b__W4096__T0p3__philosophy__s2,philosophy,or-qwen3-8b,0.3,2,4096,48,44,0.00855409,0.0146039,0.0986103,0.103382,0.260881,0.026146,0.917735,0.0294332,8.35559,0,0,0,0,0,0,0,0,True,0.909091,1,0.0544459,0,1,1,0.0988681,0.173653,0.387551,7.20189,0.420501,0.00277921,1,3,s5.1,qwen3-embed-8b,,,,
