trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
local-gemma-3-1b-pt__W256__T0p3__physics__s1,physics,local-gemma-3-1b-pt,0.3,1,256,12,11,0.0161838,0.00475146,0.011186,0.00857764,-0.0650286,0.0575701,0.560612,0.0297256,1.12609,0,0.0748422,0.0545455,0,0,0,0,0,True,1,1,0.00649351,0,0.964286,1,0.877004,0.878378,0.103955,4.38636,0.102229,0.00143061,1,3
local-gemma-3-1b-pt__W256__T0p3__physics__s2,physics,local-gemma-3-1b-pt,0.3,2,256,12,11,0.0162398,0.00485661,0.0113095,0.00858144,-0.0741297,0.0425107,0.752525,0.0296379,1.16601,0,0.0759141,0.0545455,0,0,0,0,0,True,1,1,0.00649351,0,0.964286,1,0.877004,0.878378,0.103955,4.38636,0.102229,0.00143061,1,3
local-gemma-3-1b-pt__W256__T0p3__surreal__s1,surreal,local-gemma-3-1b-pt,0.3,1,256,12,11,1.94355e-05,3.03179e-05,3.23678e-05,6.10694e-05,0.745011,0.0508967,0.995355,8.70613e-05,1.1459,0,0,0,0,0,0,0,0,True,1,1,0,0,1,1,0.936975,0.936975,0.05,3.45656,0.0625,0,1,3
local-gemma-3-1b-pt__W256__T0p3__surreal__s2,surreal,local-gemma-3-1b-pt,0.3,2,256,12,11,0.0236129,0.0100094,0.0639491,0.0644404,-0.0856249,0.321571,0.0662058,0.0464055,1.63414,0,0.112778,0.0545455,0,0,0,0,0,True,1,1,0,0,1,1,0.846307,0.846491,0.126237,4.68091,0.115395,-0.000293205,1,3
local-gemma-3-1b-pt__W256__T1__physics__s1,physics,local-gemma-3-1b-pt,1,1,256,12,11,0.0335681,0.0200358,0.383417,0.406508,0.330651,0.0922954,0.927717,0.0986866,1.65883,0,0.013771,0.0545455,0.666667,2,2,0,1,True,1,0.909091,0.0909091,0,1,1,0.98204,0.988166,0.0136906,1.0614,0.030142,-0.0275488,1,3
local-gemma-3-1b-pt__W256__T1__physics__s2,physics,local-gemma-3-1b-pt,1,2,256,12,11,0.131924,0.211876,0.279131,0.758558,0.212208,0.0863541,0.857933,0.340041,1.69515,0,0.163233,0.0545455,0.666667,2,2,2.5,1,True,1,1,0.202256,0,0.244898,1,0.839672,0.984252,0.124337,3.99239,0.113713,-0.339549,1,3
local-gemma-3-1b-pt__W256__T1__surreal__s1,surreal,local-gemma-3-1b-pt,1,1,256,12,11,0.136391,0.159858,0.310343,0.605298,0.806726,0.0665087,0.993249,0.651397,1,0,0.192038,0.0545455,0,0,0,2,0,True,1,1,0.19967,0,0.0285714,1,0.837466,0.996063,0.107343,3.303,0.113251,-0.58802,1,3
local-gemma-3-1b-pt__W256__T1__surreal__s2,surreal,local-gemma-3-1b-pt,1,2,256,12,11,0.0653623,0.135176,0.436357,0.49004,0.537117,0.0927825,0.971025,0.230694,1.76865,0,0,0,0,0,0,0,0,True,1,0.818182,0.235931,0,1,1,0.978075,0.992063,0.0117046,0.292025,0.0515838,-0.13292,1,3
