trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__physics__s2,True,128,124,0,1,0.0014351,0,1,1,0.0665507,0.0790323,0.429371,7.43385,0.420414,-3.19908e-06,1,2
or-qwen3-8b__W4096__T0p3__physics__s3,True,128,124,0.00806452,0.991935,0.0781302,0,0.792096,1,0.0410733,0.090106,0.515072,7.4457,0.430609,-0.00352019,1,2
or-qwen3-8b__W4096__T0p3__programming__s1,True,128,124,0.016129,1,0.00695539,0,1,1,0.0553524,0.10068,0.468446,7.74822,0.452716,0.000172311,1,2
or-qwen3-8b__W4096__T0p3__programming__s2,True,128,124,0,1,0.0145679,0,1,1,0.059894,0.0729167,0.456907,7.58576,0.441285,-0.00256712,1,2
or-qwen3-8b__W4096__T0p3__programming__s3,True,128,124,0.491935,0.991935,0.109415,0,0.654611,1,0.152561,0.791733,0.453027,7.42848,0.400294,0.000354152,1,2
or-qwen3-8b__W4096__T0p3__surreal__s1,True,128,124,0.870968,1,0.101264,0,0.238095,1,0.398662,0.634825,0.28597,6.87808,0.29025,-0.0191811,1,3
or-qwen3-8b__W4096__T0p3__surreal__s2,True,128,124,0.104839,0.983871,0.0342969,0,1,1,0.0502982,0.375587,0.395371,7.18097,0.436097,0.000755451,1,2
or-qwen3-8b__W4096__T0p3__surreal__s3,True,128,124,0.935484,1,0.0172884,0,1,1,0.118921,0.123762,0.436054,7.40629,0.414841,0.00156902,1,3
or-qwen3-8b__W4096__T0p3__war__s1,True,128,124,0.975806,0.967742,0.127575,0,0.524929,0.961606,0.29633,0.382629,0.313322,7.1246,0.334968,-0.00115553,1,3
or-qwen3-8b__W4096__T0p3__war__s2,True,127,123,0.552846,0.97561,0.108762,0,0.29902,1,0.103708,0.308594,0.437699,7.27996,0.44459,-0.00644946,1,3
or-qwen3-8b__W4096__T0p3__war__s3,True,128,124,0.00806452,1,0.00186726,0,1,1,0.0186339,0.0930576,0.504164,7.58651,0.480889,0.000321896,1,2
or-qwen3-8b__W4096__T1__biology__s1,True,128,124,0.169355,0.975806,0.288018,0,0.326643,0.97234,0.0655091,0.216216,0.507824,7.38774,0.398962,-0.0105117,1,2
or-qwen3-8b__W4096__T1__biology__s2,False,128,124,0.475806,0.895161,0.551086,0,0.00954033,1,0.0960028,0.645008,0.464074,7.51041,0.467575,0.0141084,0,0
or-qwen3-8b__W4096__T1__biology__s3,True,128,124,0.129032,0.959677,0.114098,0,0.798765,1,0.0661035,0.277545,0.468516,7.50757,0.429476,-0.00237816,1,2
or-qwen3-8b__W4096__T1__finance__s1,True,128,124,0.733871,0.935484,0.268188,0.00852878,0.451614,0.976789,0.0901208,0.289941,0.395675,7.14279,0.42266,-0.0365779,1,3
or-qwen3-8b__W4096__T1__finance__s2,True,127,123,0.0731707,0.878049,0.59899,0,0.0166402,1,0.0469543,0.255887,0.453926,7.4997,0.446817,-0.00248672,1,2
or-qwen3-8b__W4096__T1__finance__s3,True,127,123,0.788618,0.731707,0.640498,0.00232019,0.0597916,0.803774,0.171477,0.492268,0.350103,7.21825,0.396457,-0.0197177,1,3
or-qwen3-8b__W4096__T1__love__s1,True,128,124,0.693548,0.943548,0.506341,0.00567376,0.0493274,0.410226,0.151516,0.512386,0.353381,7.22985,0.376395,-0.0250914,1,3
or-qwen3-8b__W4096__T1__love__s2,True,128,124,0.895161,0.951613,0.508167,0,0.0954303,0.94709,0.23089,0.558594,0.292898,7.04675,0.349379,-0.0142194,1,3
or-qwen3-8b__W4096__T1__love__s3,True,128,124,0.935484,0.951613,0.511945,0,0.0397306,1,0.195868,0.556863,0.317127,7.10708,0.37342,-0.000745754,1,3
or-qwen3-8b__W4096__T1__noise__s1,True,128,124,0.935484,0.935484,0.450675,0.0489237,0.0942601,0.762208,0.301669,0.671141,0.254182,6.27368,0.308432,-0.0479748,1,3
or-qwen3-8b__W4096__T1__noise__s2,True,128,124,0.862903,0.927419,0.558973,0.0110957,0.0477896,0.560472,0.196406,0.504988,0.304529,6.96508,0.375769,-0.0221241,1,3
or-qwen3-8b__W4096__T1__noise__s3,True,127,123,0.723577,0.96748,0.539128,0.00146843,0.0215302,0.888889,0.154964,0.486448,0.32529,6.8286,0.400488,-0.0191954,1,3
or-qwen3-8b__W4096__T1__physics__s1,True,128,124,0.185484,0.943548,0.256266,0,0.16395,1,0.0751186,0.341353,0.513766,7.6585,0.453899,0.00141731,1,2
or-qwen3-8b__W4096__T1__physics__s2,True,128,124,0.129032,0.822581,0.311547,0,0.537921,1,0.0497261,0.168874,0.537898,7.79128,0.466079,0.00439942,1,2
or-qwen3-8b__W4096__T1__physics__s3,True,128,124,0.604839,0.935484,0.21561,0,0.603532,1,0.0974525,0.292308,0.468095,7.46642,0.445019,0.000301141,1,3
or-qwen3-8b__W4096__T1__programming__s1,True,127,123,0.138211,0.918699,0.264162,0,0.596939,1,0.0292423,0.190852,0.521941,7.81136,0.464702,0.010301,1,2
or-qwen3-8b__W4096__T1__programming__s2,True,128,124,0.83871,0.951613,0.388944,0.00998004,0.486534,0.924138,0.11832,0.595611,0.441415,7.14532,0.396241,-0.00260086,1,3
or-qwen3-8b__W4096__T1__programming__s3,True,127,123,0.0569106,0.934959,0.271512,0,0.705307,1,0.0518283,0.161905,0.44207,7.42722,0.457541,-0.00286,1,2
or-qwen3-8b__W4096__T1__surreal__s1,True,128,124,0.516129,0.814516,0.632177,0.00666667,0.0146391,0.511848,0.143063,0.571429,0.392983,7.19716,0.414262,-0.0380146,1,3
or-qwen3-8b__W4096__T1__surreal__s2,False,127,123,0.487805,0.796748,0.520966,0,0.00676693,1,0.114245,0.61796,0.400553,7.29869,0.444885,-0.00686831,0,0
or-qwen3-8b__W4096__T1__surreal__s3,True,128,124,0.927419,0.975806,0.449789,0,0.0333069,0.966292,0.263861,0.724907,0.286394,6.84035,0.346276,-0.018775,1,3
or-qwen3-8b__W4096__T1__war__s1,True,128,124,0.83871,0.919355,0.572637,0.00371747,0.0475471,0.837429,0.170857,0.520942,0.338707,7.1274,0.386726,-0.0132817,1,3
or-qwen3-8b__W4096__T1__war__s2,False,127,123,0.390244,0.577236,0.684192,0,0.00950121,0.527273,0.0890547,0.468274,0.393966,7.39658,0.432446,-0.0191898,0,0
or-qwen3-8b__W4096__T1__war__s3,True,128,124,0.846774,0.903226,0.566949,0,0.0205364,0.960651,0.168983,0.541766,0.321525,7.02158,0.38966,-0.0107696,1,3
