trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__biology__s1,True,128,124,0,1,0.0057211,0,0.984917,1,0.0472927,0.0669643,0.452023,7.32067,0.429912,-0.00150023,1,2
or-qwen3-8b__W4096__T0p3__biology__s2,True,128,124,0,1,0.00146413,0,1,1,0.0622223,0.0622837,0.436198,7.19692,0.43061,3.63148e-05,1,2
or-qwen3-8b__W4096__T0p3__biology__s3,True,128,124,1,0.991935,0.0385935,0,0.944134,1,0.335742,0.464527,0.357371,6.63083,0.356259,-0.00846996,1,3
or-qwen3-8b__W4096__T0p3__finance__s1,True,128,124,0.00806452,1,0.0113759,0,1,1,0.0499116,0.258278,0.510404,7.79673,0.451799,-7.36852e-07,1,2
or-qwen3-8b__W4096__T0p3__finance__s2,True,127,123,0.98374,1,0.0215713,0,0.914549,1,0.252415,0.402985,0.435526,7.37272,0.345471,-0.00700793,1,3
or-qwen3-8b__W4096__T0p3__finance__s3,True,128,124,0,1,0.00674403,0,1,1,0.0241127,0.0271132,0.493915,7.50881,0.448835,0.000569861,1,2
or-qwen3-8b__W4096__T0p3__love__s1,True,128,124,0.620968,1,0.0793759,0,0.7,1,0.26103,0.595694,0.346908,7.12595,0.352789,-0.0255686,1,3
or-qwen3-8b__W4096__T0p3__love__s2,True,128,124,0.790323,0.975806,0.122483,0,0.0321851,1,0.265088,0.744409,0.344039,7.15656,0.366563,-0.0153096,1,3
or-qwen3-8b__W4096__T0p3__love__s3,True,128,124,1,0.991935,0.0625129,0,0.126812,1,0.532819,0.784156,0.233071,6.98728,0.234969,0.00084345,1,3
or-qwen3-8b__W4096__T0p3__noise__s1,True,127,123,0.95122,1,0.0834687,0,1,1,0.421296,0.879442,0.30433,7.08102,0.307555,-0.0107712,1,3
or-qwen3-8b__W4096__T0p3__noise__s2,True,128,124,0.016129,0.991935,0.0301877,0,1,1,0.038879,0.101865,0.466251,7.32973,0.458489,-0.0101188,1,2
or-qwen3-8b__W4096__T0p3__noise__s3,True,128,124,0,1,0.0139453,0,1,1,0.0256776,0.0391304,0.493499,7.42542,0.488241,-0.000459425,1,2
or-qwen3-8b__W4096__T0p3__physics__s1,True,128,124,0,0.991935,0.0301443,0,1,1,0.0296612,0.0701493,0.511403,7.62569,0.449188,0.00212281,1,2
