band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.163202,0.480357,0.317155,0.291584,0.346502,True,392,448,2000
2,0.223364,0.48574,0.262377,0.202868,0.322309,True,448,512,1999
4,0.243261,0.501582,0.258321,0.19209,0.326733,True,448,512,2000
6,0.245217,0.500561,0.255343,0.200894,0.312981,True,448,512,2000
8,0.254904,0.500093,0.24519,0.186909,0.305256,True,448,512,2000
10,0.268976,0.51092,0.241944,0.173675,0.31169,True,448,512,2000
12,0.279038,0.510934,0.231896,0.157305,0.311748,True,43,48,2000
