band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.186125,0.492831,0.306706,0.261889,0.358394,True,28,56,1883
2,0.230916,0.491067,0.260151,0.212233,0.317308,True,32,64,1874
4,0.235637,0.458563,0.222926,0.12071,0.326403,True,32,64,1869
6,0.239631,0.454574,0.214943,0.105,0.357385,True,32,64,1875
8,0.263969,0.457417,0.193449,0.0714314,0.396575,True,32,64,1872
10,0.257676,0.46682,0.209144,0.0831515,0.394404,True,32,64,1868
