trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-gpt-oss-120b__W4096__T1__surreal__s1,surreal,or-gpt-oss-120b,1,1,4096,47,43,0.0625724,0.0489538,0.41696,0.506861,0.404721,0.0192307,0.982385,0.341184,5.89865,0,0.251607,0.0498339,0.644444,3.625,13,3.875,8,True,47,43,0.116279,0.651163,0.507315,0.0221914,0.279929,0.818482,0.0456152,0.204698,0.491912,7.45303,0.479179,-0.00174543,1,2
or-gpt-oss-120b__W4096__T1__surreal__s2,surreal,or-gpt-oss-120b,1,2,4096,47,43,0.0558293,0.0471708,0.442662,0.511462,0.366591,0.00688316,0.997208,0.26386,10.3941,0,0.220139,0.0498339,0.622222,2.54545,5,2.9375,11,True,47,43,0.0232558,0.744186,0.363462,0,0.614809,0.948207,0.0425456,0.104065,0.515279,7.42777,0.477343,0.00282231,1,2
or-gpt-oss-20b__W4096__T0p3__physics__s1,physics,or-gpt-oss-20b,0.3,1,4096,1,0,,,-2.22045e-16,-2.22045e-16,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0460251,0.0460251,0.410292,7.17394,0.430997,0,0,0
or-gpt-oss-20b__W4096__T0p3__physics__s2,physics,or-gpt-oss-20b,0.3,2,4096,4,4,0.165406,0.21571,0.359883,0.486065,0.840394,0.277195,0.901881,0.972131,1,0,,,,,,,,True,4,4,1,0.75,0.25,0,,,0.908772,0.99021,0.0436806,3.04232,0.0524917,-2.49837,0,1
or-gpt-oss-20b__W4096__T0p3__surreal__s1,surreal,or-gpt-oss-20b,0.3,1,4096,8,8,0.123586,0.121193,0.32305,0.48505,0.762901,0.00278427,0.999987,0.571911,1.0099,0,0.149304,0.0357143,0,0,0,2,0,True,8,4,1,0.75,0.244485,0,0.503521,1,0.95969,0.991184,0.0241242,3.35672,0.0342927,2.63703,1,3
or-gpt-oss-20b__W4096__T0p3__surreal__s2,surreal,or-gpt-oss-20b,0.3,2,4096,1,0,,,0,0,,,,,,1,,,,,,,,True,1,1,1,0,1,1,,,0.580899,0.580899,0.17713,5.76728,0.20033,0,0,1
or-gpt-oss-20b__W4096__T1__physics__s1,physics,or-gpt-oss-20b,1,1,4096,6,6,0.31045,0.111753,0.344704,0.473407,0.0265987,0.163664,0.025733,0.605173,1,0,,,,,,,,True,6,2,0.5,0.5,0.865505,0.844353,,,0.117387,0.195373,0.38017,7.12277,0.43971,0,0,1
or-gpt-oss-20b__W4096__T1__physics__s2,physics,or-gpt-oss-20b,1,2,4096,12,8,0.273517,0.0445188,0.326164,0.372674,-0.137442,0.257628,0.221554,0.504988,1,0,0.508199,0.0357143,0,0,0,0,0,True,12,8,0.625,0.875,0.470406,0.105,0.141382,0.331151,0.106602,0.266118,0.405459,7.26712,0.421395,0.151052,1,3
or-gpt-oss-20b__W4096__T1__surreal__s2,surreal,or-gpt-oss-20b,1,2,4096,3,0,,,0.514449,0.804035,,,,,,1,,,,,,,,False,3,3,0,0,1,1,,,0.0187993,0.0462833,0.587114,8.02753,0.509363,-0.104656,0,0
or-muse-glimmer-30b__W4096__T0p3__physics__s1,physics,or-muse-glimmer-30b,0.3,1,4096,48,44,0.0313914,0.00650135,0.114411,0.116271,-0.0964833,0.138582,0.0515161,0.0736288,1.47486,0,0.130116,0.0496829,0.829787,4.875,13,0,8,True,48,44,1,1,0.00514763,0,1,1,0.320107,0.32244,0.26608,6.59597,0.283358,0.000323207,1,3
