band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.326145,0.516209,0.190064,0.159298,0.221776,True,1758,1783,2000
2,0.37784,0.509212,0.131372,0.0949906,0.172516,True,1171,1217,2000
4,0.407933,0.517959,0.110025,0.061484,0.16445,True,937,1000,2000
6,0.426751,0.511152,0.0844016,0.0337145,0.147239,True,720,800,2000
8,0.433123,0.499785,0.0666626,0.0178623,0.130153,True,720,800,2000
10,0.435741,0.497954,0.0622122,0.0171985,0.125371,True,675,750,2000
12,0.399279,0.47671,0.0774305,-0.0141268,0.214306,False,25,30,1986
