trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__biology__s1,biology,or-qwen3-8b,0.3,1,4096,48,44,0.0193594,0.0389985,0.335719,0.477297,0.820885,0.0248374,0.991896,0.27612,2.9718,0,0.125602,0.0496829,0.744681,2.69231,7,3.37838,13,True,0.113636,0.977273,0.135251,0,0.232723,1,0.0644315,0.327172,0.459994,7.36595,0.44889,0.0121042,1,2
or-qwen3-8b__W4096__T0p3__biology__s2,biology,or-qwen3-8b,0.3,2,4096,48,44,0.0410209,0.076609,0.191805,0.824634,0.498509,0.0420613,0.940263,0.299315,1.51964,0,0.139654,0.0486258,0.76087,2.91667,6,3.88889,12,True,0.477273,0.977273,0.148772,0,0.752877,1,0.178891,0.677258,0.437834,7.40647,0.380557,0.0239873,1,2
or-qwen3-8b__W4096__T0p3__finance__s1,finance,or-qwen3-8b,0.3,1,4096,48,44,0.0267901,0.0109261,0.0947548,0.10836,0.0289818,0.123777,0.00610573,0.0719856,1,0,0.138916,0.0496829,0.680851,2.46154,4,0,13,True,1,1,0.00854759,0,1,1,0.188788,0.235202,0.459337,7.63429,0.389843,0.0026826,1,3
or-qwen3-8b__W4096__T0p3__finance__s2,finance,or-qwen3-8b,0.3,2,4096,48,44,0.00429922,0.00937096,0.0907024,0.0929572,0.203673,0.0108651,0.975233,0.0143648,5.10376,0,1.49012e-08,0.0137421,0.846154,2.75,4,4.25,4,True,0.0681818,1,0.020174,0,1,1,0.0558745,0.157143,0.474176,7.40244,0.427833,0.00345798,1,2
or-qwen3-8b__W4096__T0p3__love__s1,love,or-qwen3-8b,0.3,1,4096,48,44,0.0464226,0.0528313,0.305016,0.569686,0.561889,0.0152436,0.993475,0.356837,1.75341,0,0.201293,0.0486258,0.826087,3.16667,5,4.34615,12,False,0.477273,1,0.114604,0,0.0104395,1,0.197576,0.713464,0.400477,7.35194,0.395547,-0.0302121,0,0
or-qwen3-8b__W4096__T0p3__love__s2,love,or-qwen3-8b,0.3,2,4096,48,44,0.0378328,0.0356939,0.258089,0.320318,0.48666,0.021708,0.982553,0.24671,1.84745,0,0.197873,0.0496829,0.595745,2.8,4,3.64,10,True,0.545455,1,0.107249,0,0.584088,1,0.161887,0.511269,0.399982,7.3793,0.402844,-0.0292006,1,3
or-qwen3-8b__W4096__T0p3__noise__s1,noise,or-qwen3-8b,0.3,1,4096,48,44,0.00412136,0.0135413,0.134492,0.13586,-0.0810737,0.0877511,0.0872987,0.00735372,3.34528,0,0,0,0,0,0,0,0,True,0.0454545,1,0.0140752,0,1,1,0.0295716,0.0931099,0.497176,7.46728,0.466668,0.00172334,1,2
or-qwen3-8b__W4096__T0p3__noise__s2,noise,or-qwen3-8b,0.3,2,4096,48,44,0.0526172,0.069775,0.263763,0.422772,0.331818,0.0418482,0.875697,0.205362,7.65077,0,0.0154009,0.0475687,0.777778,3.5,7,3.96154,10,True,0.0681818,0.954545,0.144353,0,0.395317,1,0.0337235,0.0992248,0.505825,7.50463,0.491267,-0.00561514,1,2
or-qwen3-8b__W4096__T0p3__philosophy__s1,philosophy,or-qwen3-8b,0.3,1,4096,48,44,0.00338321,0.0072206,0.0981063,0.115639,0.759664,0.0188166,0.994554,0.0408531,1.4831,0,0,0,0,0,0,0,0,True,0,1,0.0213147,0,0.953795,1,0.0615834,0.0648734,0.421137,7.23828,0.428276,0.000168353,1,2
or-qwen3-8b__W4096__T0p3__philosophy__s2,philosophy,or-qwen3-8b,0.3,2,4096,48,44,0.00855409,0.0146039,0.0986103,0.103382,0.260881,0.026146,0.917735,0.0294332,8.35559,0,0,0,0,0,0,0,0,True,0.909091,1,0.0544459,0,1,1,0.0988681,0.173653,0.387551,7.20189,0.420501,0.00277921,1,3
or-qwen3-8b__W4096__T0p3__programming__s1,programming,or-qwen3-8b,0.3,1,4096,48,44,0.0167,0.0365284,0.359976,0.429077,0.673252,0.0430526,0.964791,0.167325,1.56312,0,0.0135228,0.0496829,0.574468,2.7,5,3.07895,10,True,0.227273,0.954545,0.0875401,0,0.369705,1,0.105615,0.317604,0.453808,7.38915,0.42368,0.0740688,1,2
or-qwen3-8b__W4096__T0p3__programming__s2,programming,or-qwen3-8b,0.3,2,4096,48,44,0.00458936,0.00874009,0.0935699,0.134581,0.558957,0.0231168,0.984965,0.0312406,2.25953,0,2.10734e-08,0.0348837,0.848485,3.5,5,5.2,8,True,0,1,0.0157676,0,0.426696,1,0.0176631,0.0593607,0.504419,7.79715,0.464885,-0.000697741,1,2
or-qwen3-8b__W4096__T0p3__reactor-stable__s1,reactor-stable,or-qwen3-8b,0.3,1,4096,48,44,0.0199319,0.0353291,0.214194,0.256853,0.725399,0.0101698,0.998249,0.223301,2.89396,0,0.0107445,0.0496829,0.851064,3.63636,7,4.76,11,True,0,0.977273,0.0961465,0,0.98939,1,0.0427048,0.0614973,0.480564,7.64914,0.441148,-0.0130728,1,2
or-qwen3-8b__W4096__T0p3__reactor-stable__s2,reactor-stable,or-qwen3-8b,0.3,2,4096,48,44,0.0144075,0.032661,0.236441,0.249938,0.072666,0.0567928,0.155007,0.0418682,5.8493,0,2.58096e-08,0.0295983,0.892857,3.57143,6,5.30769,7,True,0.0909091,1,0.0509942,0,0.983607,1,0.0861352,0.708723,0.463803,7.51287,0.440452,0.0108989,1,2
or-qwen3-8b__W4096__T0p3__reactor-unstable__s1,reactor-unstable,or-qwen3-8b,0.3,1,4096,48,44,0.0130656,0.0168974,0.10125,0.10296,0.205693,0.0691759,0.497671,0.0440462,7.44795,0,1.49012e-08,0.0433404,0.902439,3.7,4,6,10,True,0.0227273,1,0.0273408,0,1,1,0.0286442,0.113855,0.485224,7.75388,0.444324,0.00173289,1,2
or-qwen3-8b__W4096__T0p3__reactor-unstable__s2,reactor-unstable,or-qwen3-8b,0.3,2,4096,48,44,0.00221928,0.00588974,0.0850156,0.089408,0.472032,0.0154076,0.990581,0.0140311,1.82873,0,0,0,0,0,0,0,0,True,0,1,0.00708615,0,1,1,0.0344814,0.0750988,0.475039,7.70588,0.437776,0.00488125,1,2
or-qwen3-8b__W4096__T0p3__recipe__s1,recipe,or-qwen3-8b,0.3,1,4096,48,44,0.0440412,0.0222228,0.270383,0.282746,0.157357,0.0843278,0.280663,0.137042,1.25771,0,0.17082,0.0496829,0.765957,3.27273,6,0,11,True,0.954545,1,0.0628671,0,1,1,0.238795,0.477922,0.438452,7.44112,0.405003,0.034619,1,3
or-qwen3-8b__W4096__T0p3__recipe__s2,recipe,or-qwen3-8b,0.3,2,4096,48,44,0.0257641,0.0516008,0.278238,0.310512,0.434845,0.0247545,0.971892,0.152498,2.89244,0,0,0,0,0,0,0,0,True,0.113636,0.954545,0.114886,0,0.918605,1,0.0689176,0.830645,0.493454,7.49973,0.468711,0.0290702,1,2
or-qwen3-8b__W4096__T0p3__war__s1,war,or-qwen3-8b,0.3,1,4096,48,44,0.0672626,0.0495277,0.438066,0.816172,0.435763,0.0379969,0.936458,0.393899,5.02761,0,0.276136,0.0486258,0.652174,2.72727,8,3.33333,11,True,0.909091,1,0.177867,0,0.0680161,1,0.306325,0.789817,0.32488,7.16884,0.342353,0.022528,1,3
or-qwen3-8b__W4096__T0p3__war__s2,war,or-qwen3-8b,0.3,2,4096,48,44,0.0399565,0.0498102,0.221944,0.638713,0.521386,0.0188636,0.988453,0.283815,1.79844,0,0.170805,0.0496829,0.574468,2.7,4,3.0303,10,True,0.5,0.977273,0.150589,0,0.0143027,1,0.251217,0.727666,0.38306,7.15238,0.362641,-0.0627977,1,3
or-qwen3-8b__W4096__T0p3__waterloo-lost__s1,waterloo-lost,or-qwen3-8b,0.3,1,4096,48,44,0.0144004,0.00352033,0.0839656,0.0774892,-0.0801962,0.123348,0.0452239,0.033653,1.52395,0,0.104314,0.0496829,0.638298,3,10,0,10,True,1,1,0.00227273,0,1,1,0.851828,0.853333,0.116466,6.02223,0.0966677,-4.95025e-05,1,3
or-qwen3-8b__W4096__T0p3__waterloo-lost__s2,waterloo-lost,or-qwen3-8b,0.3,2,4096,48,44,0.0193022,0.0168643,0.0839557,0.0971205,0.261527,0.0920865,0.474731,0.052785,10.7664,0,2.58096e-08,0.0295983,0.857143,2.66667,4,4,9,True,1,1,0.0158044,0,1,1,0.244586,0.357333,0.36414,7.29022,0.356773,-0.00177812,1,3
or-qwen3-8b__W4096__T0p3__waterloo-won__s1,waterloo-won,or-qwen3-8b,0.3,1,4096,48,44,0.00226518,0.00540854,0.138029,0.13892,0.537004,0.0258467,0.979744,0.0174437,5.641,0,0,0,0,0,0,0,0,True,0.0227273,1,0.0081099,0,1,1,0.0582076,0.107438,0.425321,7.2915,0.421482,-0.00617908,1,2
