band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.309264,0.737499,0.428235,0.192131,0.641292,True,12,16,1991
2,0.40494,0.727084,0.322144,0.131197,0.539126,True,24,32,1987
4,0.426255,0.717556,0.291301,0.0630044,0.587203,True,24,32,1981
6,0.430297,0.712835,0.282538,0.0418627,0.579847,True,24,32,1982
8,0.462055,0.708451,0.246396,0.0300635,0.516976,True,24,32,1983
10,0.492375,0.67497,0.182595,0.0252833,0.406822,True,24,32,1988
12,0.530191,0.63576,0.105569,-0.100865,0.387633,False,12,16,1988
