band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.19427,0.479552,0.285282,0.233872,0.317705,True,120,240,1993
2,0.235121,0.486168,0.251047,0.182528,0.309515,True,128,256,1997
4,0.238626,0.484632,0.246006,0.155596,0.313884,True,128,256,1993
6,0.24035,0.497038,0.256688,0.168229,0.329888,True,128,256,1994
8,0.252905,0.510279,0.257374,0.131946,0.341762,True,128,256,1998
10,0.266928,0.514365,0.247436,0.120845,0.345461,True,128,256,1993
12,0.210851,0.501022,0.290171,0.166816,0.390333,True,4,9,1803
