trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T1__physics__s1,physics,or-qwen3-8b,1,1,4096,128,124,0.0757445,0.0648755,0.150726,0.150451,0.135686,0.00698707,0.929075,0.228027,11.8962,0.27322,0.0499607,0.76378,3.73077,16,4.5894,78,True,128,124,0.185484,0.943548,0.256266,0,0.16395,1,0.0751186,0.341353,0.513766,7.6585,0.453899,0.00141731,1,2
or-qwen3-8b__W4096__T1__physics__s2,physics,or-qwen3-8b,1,2,4096,128,124,0.0673982,0.0698578,0.318664,0.309339,0.289928,0.00488706,0.991887,0.376524,6.57898,0.274268,0.0499607,0.713911,3.12644,9,3.9435,87,True,128,124,0.129032,0.822581,0.311547,0,0.537921,1,0.0497261,0.168874,0.537898,7.79128,0.466079,0.00439942,1,2
or-qwen3-8b__W4096__T1__physics__s3,physics,or-qwen3-8b,1,3,4096,128,124,0.0659743,0.056846,0.193742,0.181743,0.171906,0.00518465,0.974481,0.219881,6.99859,0.246369,0.0499607,0.598425,2.71429,6,3.19022,84,True,128,124,0.604839,0.935484,0.21561,0,0.603532,1,0.0974525,0.292308,0.468095,7.46642,0.445019,0.000301141,1,3
or-qwen3-8b__W4096__T1__programming__s1,programming,or-qwen3-8b,1,1,4096,127,123,0.0597768,0.0622453,0.301033,0.327769,0.24759,0.0114857,0.943538,0.252967,24.1071,0.0199767,0.0485139,0.942308,6.86,20,11.0145,50,True,127,123,0.138211,0.918699,0.264162,0,0.596939,1,0.0292423,0.190852,0.521941,7.81136,0.464702,0.010301,1,2
or-qwen3-8b__W4096__T1__programming__s2,programming,or-qwen3-8b,1,2,4096,128,124,0.0943601,0.0476878,0.295556,0.371025,0.236147,0.0142075,0.905628,0.387769,9.62493,0.359674,0.0499607,0.48294,2.66667,7,3.18452,69,True,128,124,0.83871,0.951613,0.388944,0.00998004,0.486534,0.924138,0.11832,0.595611,0.441415,7.14532,0.396241,-0.00260086,1,3
or-qwen3-8b__W4096__T1__programming__s3,programming,or-qwen3-8b,1,3,4096,127,123,0.0609507,0.0439962,0.397652,0.423227,0.280595,0.0143722,0.932008,0.270703,15.5832,0.25956,0.0498467,0.874332,3.75862,17,5.04636,87,True,127,123,0.0569106,0.934959,0.271512,0,0.705307,1,0.0518283,0.161905,0.44207,7.42722,0.457541,-0.00286,1,2
or-qwen3-8b__W4096__T1__surreal__s1,surreal,or-qwen3-8b,1,1,4096,128,124,0.109939,0.0378371,0.394836,0.453659,0.286407,0.0147305,0.929235,0.521694,4.35883,0.459292,0.0499607,0.708661,3.03371,17,3.80769,89,True,128,124,0.516129,0.814516,0.632177,0.00666667,0.0146391,0.511848,0.143063,0.571429,0.392983,7.19716,0.414262,-0.0380146,1,3
or-qwen3-8b__W4096__T1__surreal__s2,surreal,or-qwen3-8b,1,2,4096,127,123,0.106904,0.0556564,0.388664,0.458798,0.262929,0.0093428,0.966081,0.498533,2.40079,0.451942,0.04998,0.730667,3.18605,13,4.07059,86,False,127,123,0.487805,0.796748,0.520966,0,0.00676693,1,0.114245,0.61796,0.400553,7.29869,0.444885,-0.00686831,0,0
or-qwen3-8b__W4096__T1__surreal__s3,surreal,or-qwen3-8b,1,3,4096,128,124,0.0879848,0.0379358,0.396414,0.498067,0.244403,0.0114502,0.940567,0.369823,5.78499,0.38776,0.0499607,0.729659,3.51899,15,4.67586,79,True,128,124,0.927419,0.975806,0.449789,0,0.0333069,0.966292,0.263861,0.724907,0.286394,6.84035,0.346276,-0.018775,1,3
or-qwen3-8b__W4096__T1__war__s1,war,or-qwen3-8b,1,1,4096,128,124,0.0955553,0.0387595,0.436421,0.456022,0.181154,0.00896017,0.934204,0.317697,8.56505,0.382252,0.0499607,0.493438,2.76471,8,2.95652,68,True,128,124,0.83871,0.919355,0.572637,0.00371747,0.0475471,0.837429,0.170857,0.520942,0.338707,7.1274,0.386726,-0.0132817,1,3
or-qwen3-8b__W4096__T1__war__s2,war,or-qwen3-8b,1,2,4096,127,123,0.112078,0.0540221,0.427821,0.449722,0.289547,0.0145587,0.934317,0.530014,10.6589,0.419721,0.0497134,0.761394,3.89041,14,5.18045,73,False,127,123,0.390244,0.577236,0.684192,0,0.00950121,0.527273,0.0890547,0.468274,0.393966,7.39658,0.432446,-0.0191898,0,0
or-qwen3-8b__W4096__T1__war__s3,war,or-qwen3-8b,1,3,4096,128,124,0.0811912,0.0375077,0.456008,0.496214,0.2154,0.00869185,0.955222,0.30774,6.90722,0.361268,0.0499607,0.566929,2.88,7,3.36364,75,True,128,124,0.846774,0.903226,0.566949,0,0.0205364,0.960651,0.168983,0.541766,0.321525,7.02158,0.38966,-0.0107696,1,3
