trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-gpt-oss-120b__W4096__T1__surreal__s1,surreal,or-gpt-oss-120b,1,1,4096,47,43,0.0938205,0.0535466,0.356762,0.394781,0.305118,0.0136044,0.984457,0.394312,6.22547,0,0.366714,0.0498339,0.711111,3.55556,6,3.46429,9,True,47,43,0.116279,0.651163,0.507315,0.0221914,0.279929,0.818482,0.0456152,0.204698,0.491912,7.45303,0.479179,-0.00174543,1,2
or-gpt-oss-120b__W4096__T1__surreal__s2,surreal,or-gpt-oss-120b,1,2,4096,47,43,0.101382,0.0658719,0.355468,0.364624,0.240314,0.0105528,0.984917,0.36244,10.6707,0,0.341719,0.0498339,0.6,2.45455,4,3.12903,11,True,47,43,0.0232558,0.744186,0.363462,0,0.614809,0.948207,0.0425456,0.104065,0.515279,7.42777,0.477343,0.00282231,1,2
or-gpt-oss-20b__W4096__T0p3__physics__s1,physics,or-gpt-oss-20b,0.3,1,4096,1,0,,,0,0,,,,,,1,,,,,,,,False,1,1,0,0,1,1,,,0.0460251,0.0460251,0.410292,7.17394,0.430997,0,0,0
or-gpt-oss-20b__W4096__T0p3__physics__s2,physics,or-gpt-oss-20b,0.3,2,4096,4,4,0.13236,0.155255,0.266805,0.355812,0.757402,0.280979,0.879025,0.711623,1,0,,,,,,,,True,4,4,1,0.75,0.25,0,,,0.908772,0.99021,0.0436806,3.04232,0.0524917,-2.49837,0,1
or-gpt-oss-20b__W4096__T0p3__surreal__s1,surreal,or-gpt-oss-20b,0.3,1,4096,8,8,0.146515,0.112302,0.280892,0.344014,0.508891,0.0246017,0.997668,0.516012,1,0,0.188028,0.0357143,0,0,0,0,0,True,8,4,1,0.75,0.244485,0,0.503521,1,0.95969,0.991184,0.0241242,3.35672,0.0342927,2.63703,1,3
or-gpt-oss-20b__W4096__T0p3__surreal__s2,surreal,or-gpt-oss-20b,0.3,2,4096,1,0,,,1.11022e-16,1.11022e-16,,,,,,1,,,,,,,,True,1,1,1,0,1,1,,,0.580899,0.580899,0.17713,5.76728,0.20033,0,0,1
or-gpt-oss-20b__W4096__T1__physics__s1,physics,or-gpt-oss-20b,1,1,4096,6,6,0.285716,0.0202056,0.287424,0.395178,0.00752645,0.11951,0.00395048,0.553544,1,0,,,,,,,,True,6,2,0.5,0.5,0.865505,0.844353,,,0.117387,0.195373,0.38017,7.12277,0.43971,0,0,1
or-gpt-oss-20b__W4096__T1__physics__s2,physics,or-gpt-oss-20b,1,2,4096,12,8,0.267956,0.0497983,0.254866,0.24843,-0.165711,0.12318,0.644098,0.462143,1.57404,0,0.534869,0.0357143,0,0,0,0,0,True,12,8,0.625,0.875,0.470406,0.105,0.141382,0.331151,0.106602,0.266118,0.405459,7.26712,0.421395,0.151052,1,3
or-gpt-oss-20b__W4096__T1__surreal__s2,surreal,or-gpt-oss-20b,1,2,4096,3,0,,,0.350252,0.5577,,,,,,1,,,,,,,,False,3,3,0,0,1,1,,,0.0187993,0.0462833,0.587114,8.02753,0.509363,-0.104656,0,0
or-muse-glimmer-30b__W4096__T0p3__physics__s1,physics,or-muse-glimmer-30b,0.3,1,4096,48,44,0.0867569,0.0170107,0.181035,0.188332,-0.0893845,0.0991618,0.0834481,0.162495,1.82895,0,0.245594,0.0496829,0.851064,5.71429,16,0,7,True,48,44,1,1,0.00514763,0,1,1,0.320107,0.32244,0.26608,6.59597,0.283358,0.000323207,1,3
