W,cell_a,cell_b,k_a,n_a,k_b,n_b,diff,ci_low,ci_high,fisher_p,method
4096,T=0.3,T=1.5,4,4,0,4,1,0.30719,1,0.0285714,newcomb+fisher_exact
8192,T=0.3,T=1.5,4,4,2,4,0.5,-0.102051,0.849961,0.428571,newcomb+fisher_exact
