band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.359988,0.804408,0.44442,0.37199,0.512069,True,1758,1783,2000
2,0.441195,0.764809,0.323614,0.25088,0.397312,True,1171,1217,2000
4,0.52135,0.765752,0.244401,0.13658,0.348387,True,937,1000,2000
6,0.553406,0.741595,0.188189,0.0807239,0.305434,True,720,800,2000
8,0.54397,0.7185,0.17453,0.0652177,0.303781,True,720,800,2000
10,0.551349,0.714124,0.162775,0.0629093,0.282681,True,675,750,2000
12,0.492023,0.666126,0.174103,0.0387377,0.397618,True,25,30,1986
