trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p7__physics__s1,physics,or-qwen3-8b,0.7,1,4096,47,43,0.0597685,0.0406978,0.224605,0.298909,0.352178,0.0100992,0.993512,0.268893,3.31375,0,0.307534,0.0487265,0.659091,2.9,7,3.3,10,True,0.0465116,0.976744,0.149304,0,0.750566,0.979695,0.0464721,0.212428,0.518256,7.57633,0.451168,0.0169499,1,2
or-qwen3-8b__W4096__T0p7__physics__s2,physics,or-qwen3-8b,0.7,2,4096,47,43,0.0917574,0.0322462,0.270859,0.292353,0.0554881,0.0352951,0.237348,0.240502,2.5786,0,0.337657,0.0498339,0.777778,3.88889,8,2.11538,9,True,0.674419,0.906977,0.212793,0,1,1,0.100933,0.178723,0.482598,7.51721,0.434907,-0.041485,1,3
or-qwen3-8b__W4096__T0p7__surreal__s1,surreal,or-qwen3-8b,0.7,1,4096,48,44,0.0629017,0.0210545,0.244939,0.274774,0.146441,0.0200786,0.856331,0.175052,1.08146,0,0.309323,0.0496829,0.234043,2.2,3,2.11538,5,True,0.704545,0.954545,0.254384,0,0.106603,1,0.200195,0.511848,0.325669,7.02712,0.366588,-0.00278837,1,3
or-qwen3-8b__W4096__T0p7__surreal__s2,surreal,or-qwen3-8b,0.7,2,4096,48,44,0.0773512,0.0368585,0.25969,0.28962,0.221588,0.0297914,0.861096,0.244584,3.44111,0,0.293022,0.0496829,0.489362,3.28571,5,2.86667,7,True,0.863636,0.931818,0.151098,0,0.280164,1,0.447199,0.663539,0.288502,7.03861,0.29113,-0.0593361,1,3
or-qwen3-8b__W4096__T1p5__physics__s1,physics,or-qwen3-8b,1.5,1,4096,47,43,0.105306,0.0269109,0.299417,0.351188,0.141935,0.0130146,0.937408,0.29609,2.47197,0,0.423335,0.0498339,0.4,2.25,3,2.41176,8,False,0.0930233,0.0465116,0.937626,0.0125,0.00948213,0.0495935,0.0307188,0.138047,0.499198,7.70002,0.467994,-0.0746822,0,0
or-qwen3-8b__W4096__T1p5__physics__s2,physics,or-qwen3-8b,1.5,2,4096,48,44,0.149132,0.0501772,0.278634,0.327821,0.137312,0.00995269,0.955214,0.409652,1.79183,0,0.483523,0.0496829,0.829787,2.78571,7,3.8,14,False,0,0.0681818,0.952438,0.558984,0.000419111,0.270391,0.013791,0.0445633,0.610891,8.08421,0.479264,0.0270299,0,0
or-qwen3-8b__W4096__T1p5__surreal__s1,surreal,or-qwen3-8b,1.5,1,4096,48,44,0.126041,0.040827,0.356046,0.357691,0.151355,0.0274412,0.773184,0.370446,11.048,0,0.427985,0.0496829,0.531915,3.125,8,4.17647,8,False,0,0,0.974664,0.944075,0.000655093,0.0129702,0.022955,0.0625,0.401576,7.42998,0.464016,-0.0519581,0,0
or-qwen3-8b__W4096__T1p5__surreal__s2,surreal,or-qwen3-8b,1.5,2,4096,48,44,0.0999753,0.0312427,0.386969,0.431008,0.163563,0.0209056,0.87276,0.297618,5.87015,0,0.40215,0.0496829,0.489362,3.28571,6,3.22727,7,False,0.0227273,0.0454545,0.933162,0.547445,0.00338989,0.0215779,0.0423645,0.107374,0.357744,7.23298,0.440873,-0.0406657,0,0
