trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p7__physics__s1,True,47,43,0.0465116,0.976744,0.149304,0,0.750566,0.979695,0.0464721,0.212428,0.518256,7.57633,0.451168,0.0169499,1,2
or-qwen3-8b__W4096__T0p7__physics__s2,True,47,43,0.674419,0.906977,0.212793,0,1,1,0.100933,0.178723,0.482598,7.51721,0.434907,-0.041485,1,3
or-qwen3-8b__W4096__T0p7__surreal__s1,True,48,44,0.704545,0.954545,0.254384,0,0.106603,1,0.200195,0.511848,0.325669,7.02712,0.366588,-0.00278837,1,3
or-qwen3-8b__W4096__T0p7__surreal__s2,True,48,44,0.863636,0.931818,0.151098,0,0.280164,1,0.447199,0.663539,0.288502,7.03861,0.29113,-0.0593361,1,3
or-qwen3-8b__W4096__T1p5__physics__s1,False,47,43,0.0930233,0.0465116,0.937626,0.0125,0.00948213,0.0495935,0.0307188,0.138047,0.499198,7.70002,0.467994,-0.0746822,0,0
or-qwen3-8b__W4096__T1p5__physics__s2,False,48,44,0,0.0681818,0.952438,0.558984,0.000419111,0.270391,0.013791,0.0445633,0.610891,8.08421,0.479264,0.0270299,0,0
or-qwen3-8b__W4096__T1p5__surreal__s1,False,48,44,0,0,0.974664,0.944075,0.000655093,0.0129702,0.022955,0.0625,0.401576,7.42998,0.464016,-0.0519581,0,0
or-qwen3-8b__W4096__T1p5__surreal__s2,False,48,44,0.0227273,0.0454545,0.933162,0.547445,0.00338989,0.0215779,0.0423645,0.107374,0.357744,7.23298,0.440873,-0.0406657,0,0
